iter	Passed	Remaining
549	3513	2875
550	3519	2868
551	3525	2861
552	3531	2854
553	3538	2848
554	3544	2842
555	3550	2835
556	3556	2828
557	3563	2823
558	3569	2816
559	3576	2809
560	3582	2803
561	3589	2797
562	3595	2790
563	3601	2784
564	3608	2778
565	3615	2772
566	3622	2766
567	3628	2759
568	3633	2752
569	3639	2745
570	3646	2739
571	3653	2733
572	3659	2727
573	3665	2720
574	3672	2714
575	3678	2707
576	3684	2701
577	3690	2694
578	3697	2688
579	3703	2681
580	3709	2675
581	3715	2668
582	3721	2662
583	3728	2656
584	3735	2649
585	3741	2643
586	3747	2636
587	3753	2630
588	3759	2623
589	3766	2617
590	3772	2610
591	3779	2604
592	3786	2598
593	3792	2591
594	3798	2585
595	3805	2579
596	3812	2573
597	3818	2566
598	3824	2560
599	3830	2553
600	3837	2547
601	3843	2540
602	3848	2533
603	3854	2527
604	3860	2520
605	3866	2514
606	3873	2507
607	3880	2501
608	3886	2495
609	3892	2488
610	3898	2482
611	3905	2476
612	3911	2469
613	3918	2463
614	3924	2456
615	3930	2450
616	3937	2444
617	3944	2438
618	3950	2431
619	3956	2424
620	3963	2418
621	3969	2412
622	3975	2405
623	3982	2399
624	3988	2393
625	3994	2386
626	4000	2380
627	4006	2373
628	4013	2367
629	4020	2361
630	4026	2354
631	4032	2347
632	4038	2341
633	4044	2335
634	4051	2328
635	4057	2322
636	4063	2315
637	4070	2309
638	4076	2302
639	4082	2296
640	4088	2289
641	4094	2283
642	4100	2276
643	4107	2270
644	4113	2263
645	4119	2257
646	4125	2250
647	4131	2244
648	4138	2238
649	4144	2231
650	4151	2225
651	4155	2217
652	4161	2211
653	4167	2204
654	4173	2198
655	4179	2191
656	4185	2185
657	4190	2178
658	4196	2171
659	4202	2165
660	4210	2159
661	4216	2152
662	4223	2146
663	4228	2139
664	4235	2133
665	4241	2126
666	4247	2120
667	4253	2113
668	4259	2107
669	4264	2100
670	4271	2094
671	4277	2087
672	4283	2081
673	4289	2074
674	4295	2068
675	4302	2061
676	4307	2055
677	4314	2049
678	4320	2042
679	4326	2036
680	4332	2029
681	4339	2023
682	4345	2017
683	4351	2010
684	4358	2004
685	4364	1997
686	4370	1991
687	4377	1984
688	4383	1978
689	4389	1971
690	4394	1965
691	4401	1958
692	4407	1952
693	4414	1946
694	4421	1940
695	4427	1933
696	4433	1927
697	4438	1920
698	4444	1913
699	4450	1907
700	4456	1900
701	4463	1894
702	4470	1888
703	4476	1882
704	4482	1875
705	4489	1869
706	4495	1863
707	4501	1856
708	4508	1850
709	4514	1843
710	4520	1837
711	4526	1830
712	4532	1824
713	4538	1817
714	4544	1811
715	4553	1806
716	4560	1799
717	4567	1793
718	4573	1787
719	4580	1781
720	4586	1774
721	4592	1768
722	4598	1761
723	4604	1755
724	4611	1749
725	4618	1743
726	4625	1736
727	4631	1730
728	4637	1723
729	4643	1717
730	4649	1711
731	4655	1704
732	4661	1697
733	4667	1691
734	4674	1685
735	4681	1679
736	4686	1672
737	4693	1666
738	4699	1659
739	4705	1653
740	4711	1646
741	4717	1640
742	4723	1633
743	4729	1627
744	4736	1621
745	4742	1614
746	4748	1608
747	4755	1602
748	4761	1595
749	4767	1589
750	4774	1582
751	4780	1576
752	4787	1570
753	4793	1563
754	4799	1557
755	4806	1551
756	4812	1544
757	4818	1538
758	4825	1532
759	4831	1525
760	4836	1519
761	4842	1512
762	4848	1506
763	4855	1499
764	4861	1493
765	4868	1487
766	4875	1480
767	4881	1474
768	4886	1467
769	4893	1461
770	4899	1455
771	4906	1448
772	4912	1442
773	4918	1436
774	4925	1430
775	4931	1423
776	4937	1416
777	4943	1410
778	4948	1404
779	4954	1397
780	4961	1391
781	4968	1385
782	4975	1378
783	4982	1372
784	4989	1366
785	4995	1360
786	5001	1353
787	5008	1347
788	5014	1341
789	5021	1334
790	5028	1328
791	5033	1322
792	5040	1315
793	5046	1309
794	5053	1303
795	5059	1296
796	5066	1290
797	5072	1284
798	5078	1277
799	5084	1271
800	5090	1264
801	5096	1258
802	5102	1251
803	5107	1245
804	5114	1238
805	5120	1232
806	5126	1226
807	5133	1219
808	5139	1213
809	5144	1206
810	5150	1200
811	5156	1193
812	5163	1187
813	5169	1181
814	5175	1174
815	5181	1168
816	5187	1161
817	5193	1155
818	5199	1149
819	5206	1142
820	5212	1136
821	5219	1130
822	5226	1123
823	5232	1117
824	5238	1111
825	5245	1104
826	5251	1098
827	5257	1092
828	5264	1085
829	5270	1079
830	5276	1073
831	5283	1066
832	5290	1060
833	5296	1054
834	5303	1047
835	5308	1041
836	5314	1034
837	5320	1028
838	5326	1022
839	5331	1015
